Continente;Paises y territorios;Tasa de mortalidad menores de 5 años;Tasa de mortalidad menores de 1 año;Poblacion total (miles);Nacimientos anuales (miles);INB per capita (dolares);Esperanza de vida al nacer (años)
Asia;Afganistán;257;165;23897;1136;250;43
Europa;Albania;21;18;3166;57;1740;74
Africa;Argelia;41;35;31800;724;1890;70
America del Sur;Argentina;20;17;38428;727;3650;74
Asia;Armenia;33;30;3061;29;950;72
Oceania;Australia;6;6;19731;241;21650;79
Europa;Austria;5;4;8116;68;26720;79
Europa;Azerbaiyán;91;75;8370;148;810;72
America del Norte;Bahamas;14;11;314;6;14920;67
Asia;Bahrein;15;12;724;14;10840;74
Asia;Bangladesh;69;46;146736;4183;400;62
America del Norte;Barbados;13;11;270;3;9270;77
Europa;Belarús;17;13;9895;88;1590;70
Europa;Bélgica;5;4;10318;111;25820;79
Africa;Benin;154;91;6736;278;440;51
Asia;Bhután;85;70;2257;77;660;63
America del Sur;Bolivia;66;53;8808;255;890;64
Africa;Botswana;112;82;1785;54;3430;39
America del Sur;Brasil;35;33;178470;3502;2710;68
Asia;Brunei ;6;5;358;8;24100;76
Europa;Bulgaria;15;14;7897;62;2130;71
Africa;Burkina Faso;207;107;13002;621;300;46
Africa;Burundi;190;114;6825;304;100;41
Asia;Camboya;140;97;14144;475;310;57
Africa;Camerún;166;95;16018;563;640;46
America del Norte;Canadá;6;5;31510;319;23930;79
Africa;Cabo_Verde;35;26;463;12;1490;70
Africa;República_Centroafricana;180;115;3865;144;260;40
Africa;Chad;200;117;8598;416;250;45
America del Sur;Chile;9;8;15805;284;4390;76
Asia;China;37;30;1304196;18706;1100;71
America del Sur;Colombia;21;18;44222;973;1810;72
Africa;Comoras;73;54;768;28;450;61
Africa;Congo;108;81;3724;164;640;48
America del Norte;Costa_Rica;10;8;4173;78;4280;78
Europa;Croacia;7;6;4428;49;5350;74
America del Norte;Cuba;8;6;11300;129;1170;77
Europa;Chipre;5;4;802;10;12320;78
Europa;República_Checa;4;4;10236;90;6740;76
Europa;Dinamarca;4;3;5364;62;33750;77
Africa;Djibouti;138;97;703;27;910;46
America del Norte;República_Dominicana;35;29;8745;203;2070;67
America del Sur;Ecuador;27;24;13003;295;1790;71
Africa;Egipto;39;33;71931;1911;1390;69
America del Norte;El Salvador;36;32;6515;161;2200;71
Africa;Guinea_Ecuatorial;146;97;494;21;930;49
Africa;Eritrea;85;45;4141;163;190;53
Europa;Estonia;9;8;1323;11;4960;72
Africa;Etiopía;169;112;70678;2992;90;46
Oceania;Fiji;20;16;839;19;2360;70
Europa;Finlandia;5;4;5207;55;27020;78
Europa;Francia;5;4;60144;772;24770;79
Africa;Gabón;91;60;1329;41;3580;57
Africa;Gambia;123;90;1426;50;310;54
Europa;Georgia;45;41;5126;52;830;74
Europa;Alemania;5;4;82476;711;25250;78
Africa;Ghana;95;59;20922;663;320;58
Europa;Grecia;5;4;10976;99;13720;78
America del Norte;Guatemala;47;35;12347;419;1910;66
Africa;Guinea;160;104;8480;362;430;49
Africa;Guinea-Bissau;204;126;1493;74;140;45
America del Sur;Guyana;69;52;765;16;900;63
America del Norte;Haití;118;76;8326;251;380;50
America del Norte;Honduras;41;32;6941;205;970;69
Europa;Hungría;8;7;9877;86;6330;72
Europa;Islandia;4;3;290;4;30810;80
Asia;India;87;63;1065462;25052;530;64
Asia;Indonesia;41;31;219883;4515;810;67
Asia;Irak;125;102;25175;879;2170;61
Europa;Irlanda;6;6;3956;57;26960;77
Asia;Israel;6;5;6433;126;16020;79
Europa;Italia;4;4;57423;503;21560;79
America del Norte;Jamaica;20;17;2651;54;2760;76
Asia;Japón;4;3;127654;1160;34510;82
Asia;Jordania;28;23;5473;151;1850;71
Asia;Kazajstán;73;63;15433;250;1780;67
Africa;Kenya;123;79;31987;1032;390;44
Asia;Kuwait;9;8;2521;50;16340;77
Asia;Kirguistán;68;59;5138;112;330;69
Europa;Letonia;12;10;2307;18;4070;71
Asia;Líbano;31;27;3653;69;4040;74
Africa;Lesotho;84;63;1802;55;590;35
Africa;Liberia;235;157;3367;167;130;41
Africa;Libia;16;13;5551;128;5540;73
Europa;Lituania;11;8;3444;29;4490;73
Europa;Luxemburgo;5;5;453;5;43940;78
Africa;Madagascar;126;78;17404;719;290;54
Africa;Malawi;178;112;12105;534;170;38
Asia;Malasia;7;7;24425;545;3780;73
Asia;Maldivas;72;55;318;11;2300;68
Africa;Malí;220;122;13007;650;290;49
Europa;Malta;6;5;394;4;9260;78
Africa;Mauritania;183;120;2893;120;430;53
Africa;Mauricio;18;16;1221;19;4090;72
America del Norte;México;28;23;103457;2294;6230;74
Asia;Mongolia;68;56;2594;58;480;64
Africa;Marruecos;39;36;30566;707;1320;69
Africa;Mozambique;158;109;18863;774;210;38
Asia;Myanmar;107;76;49485;1172;220;57
Africa;Namibia;65;48;1987;65;1870;44
Asia;Nepal;82;61;25164;822;240;60
Europa;Países Bajos;5;5;16149;194;26310;78
Oceania;Nueva Zelandia;6;5;3875;53;15870;78
America del Norte;Nicaragua;38;30;5466;170;730;70
Africa;Níger;262;154;11972;662;200;46
Africa;Nigeria;198;98;124009;4820;320;51
Europa;Noruega;4;3;4533;53;43350;79
Asia;Omán;12;10;2851;91;7830;73
Asia;Pakistán;103;81;153578;5506;470;61
America del Norte;Panamá;24;18;3120;70;4250;75
Oceania;Papúa ;93;69;5711;177;510;58
